id,campaign_result,age,occupation,marriage,academic_background,debt_default,credit,house_loan,personal_loan,duration_time,contact_count,previous_campaign
154,1,29,4,2,2,0,-59160,1,0,536,4,2
155,0,27,4,1,2,0,0,1,0,191,0,9
156,0,34,2,1,3,0,245640,1,0,72,5,2
157,1,26,1,1,2,0,40560,0,0,209,2,9
158,0,35,3,1,3,0,125400,1,0,204,0,9
159,0,48,2,2,2,0,40200,0,0,214,0,9
160,0,37,4,2,2,0,24960,0,0,466,0,9
161,0,32,3,1,3,0,-36840,1,1,447,2,2
162,1,62,4,2,2,0,21600,0,0,389,0,9
163,0,50,4,2,1,0,0,1,0,131,2,2
164,0,35,10,2,3,0,36360,0,0,311,0,9
165,0,34,7,2,2,0,141840,1,0,124,0,9
166,0,31,7,2,2,0,216120,1,0,136,2,2
167,0,25,7,1,2,0,240,0,0,288,0,9
168,0,53,3,3,3,0,32280,0,0,347,0,9
169,0,38,5,1,3,0,-33720,1,0,85,0,9
170,0,32,3,2,3,0,69360,0,1,29,0,9
171,0,33,2,1,2,0,23880,0,0,178,0,9
172,0,42,5,2,3,0,0,0,0,236,0,9
173,0,29,1,1,3,0,568440,1,0,226,0,9
174,0,30,2,2,2,0,5040,0,0,140,0,9
175,0,34,1,3,2,0,0,0,0,268,0,9
176,0,45,4,2,1,0,36600,1,0,211,0,9
177,0,46,4,2,1,0,291240,0,0,40,0,9
178,0,37,7,2,2,0,6000,1,0,352,0,9
179,0,33,2,3,2,0,113760,0,0,7,0,9
180,0,30,11,1,3,0,22680,0,0,71,0,9
181,0,38,4,1,3,0,95640,1,0,124,0,9
182,0,53,7,2,2,0,1289880,1,0,221,0,9
183,0,24,6,1,2,0,60960,1,0,12,1,3
184,0,30,1,1,2,0,73080,1,0,145,0,9
185,0,48,4,2,1,0,50160,1,0,102,0,9
186,0,41,3,2,3,0,480,1,0,63,0,9
187,0,35,1,1,2,0,339600,0,0,22,0,9
188,0,34,3,2,3,0,43560,0,0,171,0,9
189,0,35,3,1,3,0,69360,1,0,112,0,9
190,0,31,4,2,2,0,229680,1,0,192,0,9
191,0,50,3,2,3,0,382920,0,0,535,0,9
192,0,57,3,2,3,0,3480,0,1,294,0,9
193,0,30,4,1,1,0,55680,1,0,686,0,9
194,0,50,4,2,2,0,3120,1,0,245,2,2
195,0,48,7,2,2,0,162600,0,0,409,0,9
196,1,37,1,2,2,0,71640,0,0,395,0,9
197,0,30,4,1,2,0,52200,1,1,128,0,9
198,0,39,10,2,1,0,0,1,0,129,0,9
199,1,37,2,2,2,0,51840,1,0,386,55,2
200,0,31,4,1,2,0,-54840,1,0,270,2,2
201,0,45,3,1,3,0,683280,1,0,145,2,2
202,0,39,2,2,3,0,14760,1,0,127,0,9
203,0,63,5,2,1,0,274440,0,0,490,0,9
204,1,25,6,1,2,0,41760,0,0,245,0,9
205,1,47,2,2,2,0,140040,1,0,968,5,2
206,0,29,9,1,9,0,25080,0,0,346,0,9
207,0,49,4,3,9,0,4680,1,0,27,0,9
208,0,57,2,2,2,0,12480,0,0,86,0,9
209,0,52,4,3,1,0,478800,0,0,1548,1,3
210,0,48,7,3,2,0,588720,1,0,200,1,2
211,0,38,7,2,2,0,-91440,1,1,408,0,9
212,0,31,1,2,1,0,42600,1,1,61,0,9
213,0,35,3,3,3,0,64560,1,0,66,0,9
214,0,42,4,2,1,0,167760,0,0,36,0,9
215,0,46,1,3,1,0,216840,1,0,62,2,2
216,0,61,10,2,1,0,21840,0,0,335,13,2
217,0,31,3,2,3,0,217440,0,0,112,1,1
218,1,29,4,1,1,0,25560,1,0,2653,0,9
219,0,42,2,2,2,0,0,0,0,82,0,9
220,0,61,11,2,3,0,499440,0,0,185,0,9
221,0,55,3,2,3,0,-48960,0,0,528,0,9
222,0,26,4,1,2,0,22080,0,0,110,1,3
223,0,48,4,2,1,0,66480,0,0,263,0,9
224,0,32,3,1,2,0,176760,0,0,253,0,9
225,0,31,4,2,2,0,-86400,1,1,112,0,9
226,0,36,3,1,3,0,82560,0,0,293,2,2
227,0,35,8,2,2,0,23280,1,0,192,0,9
228,0,36,1,2,3,0,0,1,0,62,0,9
229,0,24,1,1,2,0,92400,1,0,233,0,9
230,0,39,3,3,3,0,157800,1,0,1337,1,2
231,0,50,3,2,1,0,57360,0,0,126,0,9
232,0,56,5,2,9,0,10560,1,0,172,0,9
233,0,65,12,2,3,0,138360,0,0,224,0,9
234,0,35,2,1,2,0,-27480,1,0,100,0,9
235,0,29,4,1,1,0,20400,1,0,216,0,9
236,0,42,4,2,1,0,302280,1,0,262,0,9
237,0,32,2,1,2,0,0,0,0,446,0,9
238,0,36,11,3,3,0,17880,0,0,257,0,9
239,1,46,11,2,3,0,290520,0,0,1084,4,2
240,0,46,1,3,3,0,101520,1,0,369,0,9
241,0,31,4,2,2,0,62280,1,0,623,0,9
242,1,54,2,3,2,0,258720,1,0,258,5,1
243,0,40,4,2,2,0,978000,1,0,347,0,9
244,1,35,8,2,2,0,117360,0,0,660,6,1
245,0,42,2,3,2,0,36600,1,0,82,0,9
246,1,32,7,1,2,0,18240,1,0,158,0,9
247,0,28,3,1,3,0,17400,1,0,277,0,9
248,0,44,4,2,2,0,8640,1,0,456,0,9
249,0,43,4,2,2,0,65400,1,0,144,0,9
250,0,43,7,2,2,0,-5400,1,1,140,0,9
251,0,37,3,2,3,0,70200,1,0,47,0,9
252,0,45,7,2,2,0,141720,1,0,141,0,9
253,0,54,1,1,2,0,1800,1,0,93,0,9
254,1,29,3,1,3,0,461520,0,0,313,0,9
255,0,47,12,3,3,0,171720,1,0,127,0,9
256,0,40,7,3,2,0,138600,0,1,251,0,9
257,0,35,2,1,2,0,1370760,1,0,107,0,9
258,0,39,7,2,2,0,131880,0,0,134,0,9
259,0,41,4,2,2,0,1560,1,0,106,0,9
260,0,30,3,1,3,0,2375520,0,0,41,0,9
261,0,45,12,1,3,0,25440,0,0,63,0,9
262,0,41,2,2,3,0,70200,1,0,60,0,9
263,1,37,3,2,3,0,0,1,0,242,7,2
264,0,30,2,1,2,0,29880,0,0,406,0,9
265,0,51,7,3,2,0,-29400,1,1,612,0,9
266,0,52,4,2,9,0,-480,0,0,336,0,9
267,0,54,5,2,3,0,1375680,0,0,222,0,9
268,0,33,3,1,3,0,86160,1,0,104,4,1
269,1,69,12,2,2,0,0,0,0,666,4,1
270,0,38,8,1,2,0,0,0,0,44,0,9
271,1,64,12,2,1,0,256800,0,0,881,2,2
272,0,33,2,2,2,0,113520,1,0,163,0,9
273,0,49,5,2,1,0,1292640,0,0,89,0,9
274,0,48,1,1,1,0,129360,0,0,75,0,9
275,0,45,1,2,2,0,37200,1,0,191,0,9
276,0,42,7,2,2,1,15480,0,0,390,0,9
277,0,37,8,2,2,0,110880,1,0,181,0,9
278,0,43,5,2,2,0,76920,1,1,251,0,9
279,1,54,1,2,9,0,16800,0,0,473,2,2
280,0,57,1,3,2,0,-16800,1,0,264,0,9
281,0,30,2,1,2,0,114960,0,0,112,0,9
282,1,38,2,2,2,0,544680,0,0,387,0,9
283,0,38,11,2,3,0,39240,1,0,69,0,9
284,0,53,2,2,2,0,28080,0,0,103,0,9
285,1,35,3,2,3,0,960000,0,0,331,3,1
286,1,28,9,1,2,0,535800,0,0,769,0,9
287,0,28,7,2,2,0,840,1,1,226,0,9
288,0,51,1,2,2,0,360,0,1,259,0,9
289,0,32,4,1,2,0,12720,1,0,1224,0,9
290,0,38,4,2,1,0,69600,1,0,572,0,9
291,0,56,4,2,2,0,41400,1,0,605,0,9
292,0,37,7,2,2,0,214080,1,0,19,0,9
293,0,26,3,2,1,0,161880,1,0,275,0,9
294,0,43,11,2,3,0,360360,0,0,358,0,9
295,0,60,12,2,1,0,228720,0,0,79,2,3
296,0,31,1,1,2,0,82800,0,0,92,0,9
297,1,37,3,2,3,0,12960,1,1,262,0,9
298,1,25,6,1,3,0,39120,0,0,390,0,9
299,0,36,5,2,3,0,29640,0,0,351,0,9
300,0,35,4,2,2,0,0,1,0,100,0,9
301,0,53,11,2,3,0,54120,1,0,56,0,9
302,0,43,3,1,3,0,-6000,1,1,30,0,9
303,0,55,4,1,1,0,142440,1,0,113,2,2
304,0,35,3,2,3,0,66240,1,1,222,0,9
305,0,40,8,3,2,0,23160,1,0,195,1,2
306,0,51,1,2,2,0,0,0,0,78,0,9
307,0,55,1,2,2,0,439680,0,1,423,0,9
308,0,37,4,2,2,0,43440,1,0,277,0,9
309,0,31,3,1,3,0,222240,1,0,170,0,9
310,0,36,7,2,2,0,602880,0,0,139,0,9
311,0,45,2,2,2,0,236520,1,0,182,0,9
312,0,43,3,3,2,0,37320,0,0,92,0,9
313,0,30,3,1,3,0,13800,0,0,154,0,9
314,0,43,2,1,3,0,138480,0,0,603,0,9
315,1,60,3,3,3,0,43920,0,0,593,0,9
316,0,43,1,1,2,0,46320,0,0,242,4,1
317,0,23,1,1,2,0,88560,1,0,347,0,9
318,0,47,4,2,2,1,-71280,1,1,100,0,9
319,1,21,4,2,1,0,-20640,1,1,409,3,2
320,0,32,1,1,3,0,457920,1,0,53,0,9
321,0,50,7,2,2,1,0,0,0,35,0,9
322,1,40,3,2,3,0,544680,0,0,256,1,2
323,0,47,2,2,2,0,17640,0,0,136,0,9
324,0,30,7,1,2,0,29760,1,0,87,0,9
325,0,27,7,1,2,0,16680,0,0,165,0,9
326,0,30,7,2,9,0,536520,1,0,424,0,9
327,0,26,2,1,2,0,389280,0,0,141,1,2
328,0,47,2,2,2,0,333720,1,0,855,0,9
329,0,38,7,2,2,0,600000,0,0,720,5,2
330,0,36,7,3,2,0,9840,1,0,226,0,9
331,0,67,12,2,1,0,487920,0,0,104,0,9
332,0,28,4,2,2,0,74280,0,0,327,0,9
333,1,33,1,1,2,0,68640,1,0,344,2,2
334,0,38,2,2,3,0,15360,0,0,183,0,9
335,0,60,12,2,3,0,104640,0,0,37,0,9
336,0,37,1,3,2,0,460080,1,0,72,0,9
337,0,39,11,2,3,0,-21120,1,0,156,0,9
338,0,46,3,2,3,0,25440,1,0,515,0,9
339,0,47,5,3,2,0,47040,1,1,125,0,9
340,0,46,3,2,2,0,1200,1,0,122,0,9
341,0,47,4,2,2,0,79800,0,0,885,0,9
342,0,42,3,2,3,0,840,0,0,582,0,9
343,0,37,3,3,2,0,49680,0,0,293,4,2
344,0,29,3,1,3,0,75600,0,0,94,0,9
345,0,39,10,1,1,0,160800,0,0,113,0,9
346,0,54,3,1,2,0,66600,0,1,117,0,9
347,0,43,4,2,1,0,-104640,1,1,267,0,9
348,0,40,2,2,2,0,205920,1,0,226,0,9
349,0,44,4,2,2,0,60960,1,0,158,0,9
350,0,43,2,1,2,0,35160,1,0,49,0,9
351,0,60,12,2,2,0,0,0,0,149,0,9
352,0,32,7,2,1,0,-13080,1,0,77,0,9
353,0,41,5,3,3,0,0,1,0,176,0,9
354,0,39,4,1,2,0,9840,1,0,147,0,9
355,0,49,4,2,1,0,22320,1,0,241,0,9
356,0,29,7,1,2,0,12240,0,0,111,4,2
357,0,35,3,2,3,0,-86160,1,1,318,0,9
358,0,40,4,1,2,0,9840,1,0,135,5,2
359,0,29,7,2,2,0,449760,0,0,322,0,9
360,0,37,2,2,2,0,21600,0,0,215,0,9
361,0,45,4,2,2,0,269520,1,1,197,2,3
362,1,32,2,2,3,0,357120,1,0,783,5,2
363,0,35,7,2,2,0,207360,1,0,865,0,9
364,0,37,2,2,2,0,0,1,0,906,0,9
365,0,41,4,2,1,0,171360,1,1,182,0,9
366,1,58,5,2,3,0,93120,1,0,990,0,9
367,0,35,1,3,2,0,-26160,0,1,123,0,9
368,0,37,3,2,3,0,70320,1,0,141,0,9
369,0,26,2,2,2,0,89280,0,0,609,0,9
370,0,46,3,2,3,0,55920,1,0,109,0,9
371,0,34,1,2,2,0,7320,0,1,21,0,9
372,0,29,1,1,2,0,119160,0,0,105,0,9
373,0,31,8,2,2,0,3720,1,0,211,0,9
374,0,29,1,3,2,0,240,0,1,220,0,9
375,0,34,4,2,1,0,33240,0,0,68,0,9
376,0,60,12,2,2,0,247200,0,0,454,3,3
377,0,46,7,2,1,0,5160,1,0,86,0,9
378,1,54,2,3,2,0,258720,1,0,261,4,2
379,1,29,11,2,2,0,14760,0,1,247,3,1
380,1,41,4,3,2,0,434640,0,0,1135,0,9
381,0,31,8,2,2,0,2400,0,0,304,1,2
382,0,31,7,2,2,1,-54600,0,1,168,0,9
383,0,31,2,1,3,0,2760,0,0,121,0,9
384,0,60,12,2,1,0,49680,0,0,395,0,9
385,0,33,2,1,3,0,280800,0,0,65,3,2
386,0,55,4,2,1,0,100200,1,0,40,0,9
387,0,38,3,2,3,0,0,0,0,219,0,9
388,1,52,1,1,9,0,267240,0,0,242,0,9
389,1,39,8,1,3,0,840,1,0,931,0,9
390,0,39,1,2,2,0,-117840,1,1,287,2,3
391,0,31,4,2,2,0,5040,1,0,210,0,9
392,0,33,7,1,3,0,83040,0,0,86,0,9
393,0,46,1,2,2,0,172440,1,0,49,0,9
394,0,30,11,1,2,0,35880,1,0,679,0,9
395,0,43,10,2,2,0,89160,0,1,323,0,9
396,0,32,4,2,1,0,-1320,1,0,776,0,9
397,0,29,4,2,1,0,84840,0,0,210,0,9
398,0,51,2,2,2,0,39600,1,0,72,0,9
399,0,48,3,2,2,0,0,1,0,90,0,9
400,0,56,12,2,3,0,10680,0,0,83,0,9
401,0,32,3,1,3,0,27480,1,0,345,0,9
402,1,28,4,1,2,0,-5520,1,0,525,11,2
403,0,60,11,2,2,0,0,0,0,97,0,9
404,0,32,8,2,2,0,11160,1,0,203,0,9
405,0,42,10,3,2,0,37680,0,0,249,0,9
406,0,34,4,1,2,0,148680,1,0,90,0,9
407,0,30,1,3,2,0,44400,1,0,160,0,9
408,0,39,3,1,3,0,0,1,0,561,3,2
409,0,26,4,1,2,0,21240,0,1,235,0,9
410,0,56,4,2,2,0,309960,0,0,70,0,9
411,0,54,2,1,2,0,56760,1,0,134,0,9
412,0,30,11,1,3,0,311160,0,0,662,0,9
413,0,50,3,2,3,0,524880,1,0,163,3,2
414,0,31,4,1,2,0,92400,1,0,178,0,9
415,0,35,8,2,3,0,221880,1,0,111,0,9
416,0,39,3,2,3,0,358200,0,0,91,0,9
417,0,27,3,1,2,0,70680,0,0,24,0,9
418,1,38,2,1,2,0,205320,0,0,234,0,9
419,0,44,4,3,2,0,150960,1,0,607,0,9
420,0,47,2,2,2,0,-7080,1,1,502,2,2
421,0,73,12,3,2,0,131040,0,0,390,0,9
422,0,43,3,2,2,0,383520,1,1,159,0,9
423,1,66,3,2,9,0,257880,1,0,98,10,2
424,0,36,2,2,2,0,62640,1,0,185,0,9
425,0,49,4,1,1,0,445200,1,0,107,0,9
426,1,53,7,3,1,0,-34920,1,1,591,0,9
427,0,47,4,3,1,0,26760,1,0,140,0,9
428,0,46,5,2,2,0,35280,1,0,228,0,9
429,0,58,3,2,3,0,271320,1,0,1361,1,2
430,0,33,4,1,1,0,0,0,0,83,0,9
431,0,35,1,1,2,0,130440,0,0,110,0,9
432,0,42,4,2,1,0,57480,1,0,391,0,9
433,1,54,1,2,2,0,72240,0,0,143,0,9
434,0,39,3,1,3,0,717120,0,0,113,0,9
435,0,56,12,2,2,0,43680,0,0,105,0,9
436,0,60,4,2,2,0,23520,0,0,583,0,9
437,0,36,5,2,1,0,402240,0,0,503,0,9
438,0,53,2,2,2,0,162840,0,0,146,0,9
439,0,72,12,2,1,0,0,0,0,348,6,2
440,0,55,1,2,1,0,38280,0,0,124,0,9
441,0,60,12,3,3,0,56760,0,0,100,0,9
442,0,30,11,2,2,0,0,0,0,297,0,9
443,0,44,11,2,2,0,55800,0,0,160,0,9
444,1,77,12,2,2,0,493440,0,0,426,3,1
445,0,56,11,2,2,0,53400,0,0,59,0,9
446,0,58,1,2,2,0,98520,1,1,83,0,9
447,0,32,3,2,3,0,21960,1,0,112,0,9
448,0,56,3,1,3,0,131040,1,1,176,4,2
449,0,34,3,2,3,0,816960,1,0,8,0,9
450,0,49,2,2,2,0,-101880,1,1,197,0,9
451,0,47,7,2,2,0,0,1,0,250,0,9
452,0,36,2,1,2,0,1088160,1,0,98,0,9
453,0,32,2,2,2,0,160440,0,0,368,0,9
454,0,35,11,2,3,0,67200,1,0,58,1,2
455,0,34,3,2,3,0,59760,1,0,216,0,9
456,0,33,5,2,1,0,28440,1,0,89,0,9
457,0,36,3,1,3,0,114360,1,0,72,1,3
458,0,60,2,1,2,0,1440,0,0,205,0,9
459,0,28,4,1,2,0,14520,0,0,542,0,9
460,0,33,1,1,2,0,12120,1,0,392,0,9
461,0,60,12,2,3,0,271320,0,0,245,0,9
462,1,34,1,3,2,0,-30120,0,0,641,0,9
463,0,30,11,2,1,0,80880,1,0,72,0,9
464,0,42,10,2,9,0,36240,1,0,342,0,9
465,0,78,12,3,3,0,121920,0,0,524,0,9
466,0,34,2,1,2,0,-10680,1,0,209,0,9
467,0,32,3,2,3,0,360,1,0,22,0,9
468,0,59,12,2,2,0,0,0,0,363,6,3
469,0,27,8,1,2,0,236640,0,0,97,0,9
470,0,43,8,2,2,0,93000,0,0,325,2,2
471,0,33,1,3,2,0,-39720,1,1,186,3,2
472,0,33,2,2,3,0,-44400,1,0,108,0,9
473,0,52,7,2,2,0,248640,0,0,224,0,9
474,0,50,7,2,2,0,354720,1,0,686,0,9
475,0,37,8,2,3,0,914400,0,0,100,0,9
476,0,58,4,1,2,0,433440,1,0,563,0,9
477,0,57,7,2,2,0,329400,1,0,167,0,9
478,0,34,3,2,3,0,1320,1,0,654,0,9
479,0,41,4,2,2,0,53880,1,1,313,0,9
480,0,43,1,3,2,0,6840,0,0,46,0,9
481,0,52,3,2,3,0,162600,1,0,131,1,2
482,0,26,1,1,2,0,11520,0,0,696,2,2
483,0,31,2,1,2,0,1320,1,0,16,0,9
484,0,40,3,1,3,0,87840,0,0,148,0,9
485,0,29,1,1,2,0,45840,1,0,460,0,9
486,1,62,12,2,1,0,209040,0,0,167,6,3
487,0,35,7,2,2,0,75600,1,0,17,0,9
488,0,41,5,2,3,0,44760,0,0,87,0,9
489,0,23,10,2,3,0,147120,0,0,350,0,9
490,0,35,4,1,2,0,-57840,1,0,472,0,9
491,0,36,3,2,3,0,65880,1,0,72,0,9
492,0,37,2,2,2,1,0,0,0,236,0,9
493,0,31,2,1,2,0,2760,1,0,97,1,2
494,0,35,3,1,2,0,142680,0,1,92,0,9
495,0,29,7,2,2,0,45120,0,1,49,4,2
496,0,47,7,3,2,0,99480,0,1,466,0,9
497,1,56,12,3,1,0,83280,0,0,144,1,3
498,0,42,3,2,9,0,788760,1,0,56,0,9
499,0,26,3,1,3,0,96000,1,0,405,0,9
500,1,22,2,1,2,0,33960,1,0,254,0,9
501,0,42,4,2,2,0,-32280,1,0,100,0,9
502,0,57,10,3,1,0,894120,0,0,43,0,9
503,1,36,3,2,3,0,24360,0,0,139,0,9
504,1,45,8,2,2,0,244800,0,0,803,0,9
505,0,50,4,2,2,0,238200,1,0,464,0,9
506,0,38,4,2,1,0,551040,1,0,360,0,9
507,0,51,4,3,2,0,50520,1,0,216,0,9
508,0,41,3,1,3,0,-51120,1,0,294,0,9
509,0,52,12,3,1,0,42360,0,0,395,0,9
510,1,31,3,2,3,0,379200,1,0,688,0,9
511,0,57,12,2,2,0,57480,0,0,82,0,9
512,0,60,12,1,2,0,195000,0,0,119,0,9
513,1,49,4,2,2,0,207600,1,0,605,4,1
